sensor_id	sensor_type	location	lat	lon	timestamp	value_type	value
4853	pms5003	3628	6.559	3.386	2024-03-01T01:01:37.683200+00:00	P2	28.67
4853	pms5003	3628	6.559	3.386	2024-03-01T01:01:37.683200+00:00	P1	30.33
4853	pms5003	3628	6.559	3.386	2024-03-01T01:01:37.683200+00:00	P0	18
4854	DHT22	3628	6.559	3.386	2024-03-01T01:01:52.504839+00:00	humidity	85.7
4854	DHT22	3628	6.559	3.386	2024-03-01T01:01:52.504839+00:00	temperature	31.2
4853	pms5003	3628	6.559	3.386	2024-03-01T01:02:45.734314+00:00	P2	27
4853	pms5003	3628	6.559	3.386	2024-03-01T01:02:45.734314+00:00	P1	30
4853	pms5003	3628	6.559	3.386	2024-03-01T01:02:45.734314+00:00	P0	18
4854	DHT22	3628	6.559	3.386	2024-03-01T01:02:59.394737+00:00	humidity	85.6
4854	DHT22	3628	6.559	3.386	2024-03-01T01:02:59.394737+00:00	temperature	31.3
4853	pms5003	3628	6.559	3.386	2024-03-01T01:03:52.150998+00:00	P2	26
4853	pms5003	3628	6.559	3.386	2024-03-01T01:03:52.150998+00:00	P1	29.5
4853	pms5003	3628	6.559	3.386	2024-03-01T01:03:52.150998+00:00	P0	19.5
4854	DHT22	3628	6.559	3.386	2024-03-01T01:04:06.554920+00:00	humidity	85.4
4854	DHT22	3628	6.559	3.386	2024-03-01T01:04:06.554920+00:00	temperature	31.3
4853	pms5003	3628	6.559	3.386	2024-03-01T01:05:01.057333+00:00	P2	27
4853	pms5003	3628	6.559	3.386	2024-03-01T01:05:01.057333+00:00	P1	32.5
4853	pms5003	3628	6.559	3.386	2024-03-01T01:05:01.057333+00:00	P0	19
4854	DHT22	3628	6.559	3.386	2024-03-01T01:05:14.310969+00:00	humidity	85.5
4854	DHT22	3628	6.559	3.386	2024-03-01T01:05:14.310969+00:00	temperature	31.2
4853	pms5003	3628	6.559	3.386	2024-03-01T01:06:12.504737+00:00	P2	27.5
4853	pms5003	3628	6.559	3.386	2024-03-01T01:06:12.504737+00:00	P1	29.5
4853	pms5003	3628	6.559	3.386	2024-03-01T01:06:12.504737+00:00	P0	19
4854	DHT22	3628	6.559	3.386	2024-03-01T01:06:26.999042+00:00	humidity	85.4
4854	DHT22	3628	6.559	3.386	2024-03-01T01:06:26.999042+00:00	temperature	31.3
4853	pms5003	3628	6.559	3.386	2024-03-01T01:07:32.686561+00:00	P2	24
4853	pms5003	3628	6.559	3.386	2024-03-01T01:07:32.686561+00:00	P1	29.5
